center	assay	assay-info	cell-lines	cell-lines-meta	purturbagens	perturbagens-meta	perturbagens-meta (cont)	perturbagens-meta (cont)	sigtures-meta	map	readouts	readout-count	data release date	data release date	data release date	data release date	release-link	phase
			"me1,type1(normal or iPSC differentiated),class1(cell line,cancer line,)\control-or-disease,tissue1;me2,type2,class2,tissue2"	count\type (OR) count1\type1;count2\type2	"me1,type1,perturbagens1;me2,type2, purturbagens2"	"pair\type1,count1;type2,count2"	"dose1,dose2;dose-count"	"time1(,time2,time3);time-unit;time-points"	"reps,techReps"	"pert1,cell-line1;pert2,cell-line2"	name1\datatype1;name2\datatype2		LEVEL 1	LEVEL 2	LEVEL 3	LEVEL 4		
										one-all = each pert to all cell lines								
																		
HMS-Sorger	Moerke 2 Color Apoptosis					false\											http://lincs.hms.harvard.edu/db/datasets/20001/	LP1
HMS-Sorger	Moerke 3 Color Apoptosis	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20002/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20003/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20004/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20006/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining (2nd)	Cell Growth Inhibition Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20007/	LP1
HMS-Sorger	Moerke 2 Color Apoptosis					false\											http://lincs.hms.harvard.edu/db/datasets/20001/	LP1
HMS-Sorger	Moerke 3 Color Apoptosis	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20002/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20003/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20004/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20006/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining (2nd)	Cell Growth Inhibition Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20007/	LP1
HMS-Sorger	Moerke 2 Color Apoptosis					false\											http://lincs.hms.harvard.edu/db/datasets/20001/	LP1
HMS-Sorger	Moerke 3 Color Apoptosis	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20002/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20003/	LP1
HMS-Sorger	Tang Apoptosis mitosis Cell Cycle State Assay	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20004/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining	Cell Cycle State Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20006/	LP1
HMS-Sorger	MGH (CMT) Growth Inhibition Assay Protocol (3 compound doses) -- DNA Staining (2nd)	Cell Growth Inhibition Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20007/	LP1
HMS-Sorger	Moerke 2 Color Apoptosis					false\											http://lincs.hms.harvard.edu/db/datasets/20001/	LP1
HMS-Sorger	Moerke 3 Color Apoptosis	Apoptosis Assay				false\											http://lincs.hms.harvard.edu/db/datasets/20002/	LP1
